indicator_id;strand_id;indicator_code;indicator_text
401101;401001;ENG_IND_1_1;Ability to listen actively to a variety of oral texts to gain information.
401102;401001;ENG_IND_1_2;Ability to listen and participate actively in conversations in various settings for self-expression and effective communication.
401103;401001;ENG_IND_1_3;Ability to speak accurately with expression and at the right speed, with minimum hesitation for fluency in communication.
401201;401002;ENG_IND_2_1;Ability to read about 300 words fluently and accurately, at the right speed and with expression for effective communication.
401202;401002;ENG_IND_2_2;Ability to read grade-appropriate visuals, print and digital texts for comprehension and information.
401203;401002;ENG_IND_2_3;Ability to read a variety of grade-appropriate visual, digital and print texts for lifelong learning.
401301;401003;ENG_IND_3_1;Ability to use grammatical forms to communicate ideas, opinions and emotions appropriately in different settings for effective communication.
401401;401004;ENG_IND_4_1;Ability to use punctuation, paragraphing and spelling correctly for effective communication.
401402;401004;ENG_IND_4_2;Ability to write a variety of writings using the correct formats for effective communication.
401403;401004;ENG_IND_4_3;Ability to write creative works clearly and expressively for effective communication.
402101;402001;KIS_KSL_IND_1_1;Kuweza kuwasiliana kwa matamshi bora (Matamshi ya sauti zinazokaribiana: p/b, t/d, k/g, ch/j)
402102;402001;KIS_KSL_IND_1_2;Kuweza kuzungumza kwa ufasaha (Kwa kutumia maneno ya upole na mazungumzo ya kimikakati)
402103;402001;KIS_KSL_IND_1_3;Kuweza kusikiliza na kujibu ipasavyo (Maamkizi na maagano, ushairi, masimulizi)
402104;402001;KIS_KSL_IND_1_4;Kuweza kutumia lugha kiubunifu (Vitendawili, methali, nahau, visawe, tashbihi)
402201;402002;KIS_KSL_IND_2_1;Kuweza kusoma kwa ufasaha (Ulumbi, umbo, wahusika, matumizi ya msamiati mwafaka, kutoa muhtasari)
402202;402002;KIS_KSL_IND_2_2;Kuweza kusoma kwa kina. (Matumizi ya kamusi: mpangilio na maana za maneno)
402203;402002;KIS_KSL_IND_2_3;Kuweza kusoma kwa ufasaha. (Matamshi bora, kiwango kifaaacho cha sauti, kasi ifaayo, ishara zifaazo)
402204;402002;KIS_KSL_IND_2_4;Kuweza kusoma kwa mapana. (Kutambua na kuchagua matini ya kusoma, kutambua ujumbe na matumizi ya lugha)
402205;402002;KIS_KSL_IND_2_5;Kuweza kusoma kidijitali. (Kufungua faili ya kidijitali, matumizi ya vifaa vya kidijitali, kukarakana kwenye tovuti, volumu, kuchagua na kusoma matini, kutambua ujumbe na matumizi ya lugha.)
402301;402003;KIS_KSL_IND_3_1;Kuweza kuandika aina mbalimbali za insha (wasifu, masimulizi, maelezo na barua ya kirafiki) kwa kuzingatia vipengele vifuatavyo: muundo, ujumbe, mtindo na kanuni zifaazo za uandishi.
402302;402003;KIS_KSL_IND_3_2;Kuweza kuandika kwa tarakilishi. (Sehemu za tarakilishi, kufungua na kufunga tarakilishi, kuhifadhi).
402401;402004;KIS_KSL_IND_4_1;Kuweza kutambua na kutumia vinyume vya maneno na kuvitumia katika matini.
402402;402004;KIS_KSL_IND_4_2;Kuweza kutambua na kutumia viambishi vya nyakati katika vitenzi. (Wakati uliopita, uliopo na ujao)
402403;402004;KIS_KSL_IND_4_3;Kuweza kutambua maneno yaliyokanushwa, viambishi vya ukanushaji na kukanusha maneno ipasavyo. (Wakati uliopita, uliopo na ujao)
402404;402004;KIS_KSL_IND_4_4;Kuweza kutambua na kutumia aina mbalimbali za maneno katika lugha ya Kiswahili. (Vitenzi, viwakilishi, vielezi, viunganishi, vihusishi na vihisishi)
402405;402004;KIS_KSL_IND_4_5;Kuweza kutambua viambishi vya ngeli, nomino za ngeli na kutumia upatanisho wa kisarufi ipasavyo. (A-WA, U-I, KI-VI, LI-YA na LI-LI)
402406;402004;KIS_KSL_IND_4_6;Kuweza kutambua na kutumia vitenzi katika kauli mbalimbali. (kauli ya kutenda, kutendea na kutendwa)
404101;404001;AGRI_IND_1_1;Ability to explain conservation of resources of four resources in the environment (soil, water, fuel, wild animals).
404102;404001;AGRI_IND_1_2;Ability to conserve four resources in the environment (soil, water, fuel, wild animals).
404103;404001;AGRI_IND_1_3;Ability to show four aspects of responsibility in conservation of environmental resources (offers leadership, observes safety, shows initiative, shows dutifulness in tasks).
404201;404002;AGRI_IND_2_1;Ability to describe food production processes at household level (direct sowing of seeds, growing of fruits, uses of domestic animals, balanced diet, boiling and shallow frying).
404202;404002;AGRI_IND_2_2;Ability to carry out various food production processes at household level (direct sowing of seeds, growing of fruits, uses of domestic animals, balanced diet, boiling and shallow frying).
404203;404002;AGRI_IND_2_3;Ability to exhibit integrity in carrying out food production processes (utilising resources prudently, is accountable, shows honesty, applies ethically acceptable procedures).
404301;404003;AGRI_IND_3_1;Ability to describe practices that promote hygiene (personal hygiene, domestic hygiene and cleaning personal protective equipment).
404302;404003;AGRI_IND_3_2;Ability to apply health practices to promote hygiene (personal hygiene, domestic hygiene and cleaning personal protective equipment).
404303;404003;AGRI_IND_3_3;Ability to exhibit responsibility while undertaking health practices that promote hygiene (respects other learners’ property, offers leadership, accepts consequences, cares for property).
404401;404004;AGRI_IND_4_1;Ability to use tacking stitches in making an item (makes appropriate choice of stitch, makes the stitch, ensures evenness of the stitch and firmness of stitch to the purpose).
404402;404004;AGRI_IND_4_2;Ability to work in unity in making an item (sharing resources, working in teams, appreciating efforts of others, respects others’ opinions).
405101;405001;SCI_TECH_IND_1_1;Ability to identify characteristics of plants and animals.
405102;405001;SCI_TECH_IND_1_2;Ability to describe functions of external parts of a plant.
405103;405001;SCI_TECH_IND_1_3;Ability to identify parts of the human digestive system.
405104;405001;SCI_TECH_IND_1_4;Ability to develop a plan of maintaining a healthy human digestive system.
