strand_id;subject_id;strand_code;strand_name
401001;401;ENG_STRAND_1;Listening and Speaking
401002;401;ENG_STRAND_2;Reading
401003;401;ENG_STRAND_3;Grammar in use
401004;401;ENG_STRAND_4;Writing
402001;402;KIS_KSL_STRAND_1;Kusikiliza na Kuzungumza
402002;402;KIS_KSL_STRAND_2;Kusoma
402003;402;KIS_KSL_STRAND_3;Kuandika
402004;402;KIS_KSL_STRAND_4;Sarufi
404001;404;AGRI_STRAND_1;Conservation of Resources
404002;404;AGRI_STRAND_2;Food Production Processes
404003;404;AGRI_STRAND_3;Hygiene Practices
404004;404;AGRI_STRAND_4;Production Techniques
405001;405;SCI_TECH_STRAND_1;Living Things and their Environment
405002;405;SCI_TECH_STRAND_2;Matter
405003;405;SCI_TECH_STRAND_3;Force and Energy
406001;406;MATH_STRAND_1;Numbers
406002;406;MATH_STRAND_2;Measurement
406003;406;MATH_STRAND_3;Geometry
406004;406;MATH_STRAND_4;Data Handling
407001;407;REL_CRE_STRAND_1;Creation
407002;407;REL_CRE_STRAND_2;The Holy Bible
407003;407;REL_CRE_STRAND_3;The Life of Jesus Christ
407004;407;REL_CRE_STRAND_4;Christian Values
407005;407;REL_CRE_STRAND_5;The Church
407006;407;REL_CRE_STRAND_6;Morality and Social Media
408001;408;REL_IRE_STRAND_1;Qur'an
408002;408;REL_IRE_STRAND_2;Hadith
408003;408;REL_IRE_STRAND_3;Pillars of Iman
408004;408;REL_IRE_STRAND_4;Devotional Acts
408005;408;REL_IRE_STRAND_5;Akhlaq (Moral Teachings)
408006;408;REL_IRE_STRAND_6;Muamalaat (Social Relations)
408007;408;REL_IRE_STRAND_7;History of Islam
409001;409;REL_HIN_STRAND_1;Creation
409002;409;REL_HIN_STRAND_2;Manifestations of Paramatma
409003;409;REL_HIN_STRAND_3;Scriptures
409004;409;REL_HIN_STRAND_4;Worship
409005;409;REL_HIN_STRAND_5;Sudaachaar
409006;409;REL_HIN_STRAND_6;Yoga
409007;409;REL_HIN_STRAND_7;Principles of Dharma
409008;409;REL_HIN_STRAND_8;Utsav (Festivals)
410001;410;CRE_ARTS_STRAND_1;Creating and Executing
410002;410;CRE_ARTS_STRAND_2;Performing and Displaying
410003;410;CRE_ARTS_STRAND_3;Appreciation in Creative Arts
412001;412;SOC_STUD_STRAND_1;Natural and Built Environments
412002;412;SOC_STUD_STRAND_2;People and Population
412003;412;SOC_STUD_STRAND_3;Social Organisations
412004;412;SOC_STUD_STRAND_4;Resources and Economic Activities
