substrand_id;indicator_id;weight
40100101 ;401101;1
40100101 ;401102;0
40100101 ;401103;1
40100102 ;401101;0
40100102 ;401102;0
40100102 ;401103;1
40100103 ;401101;0
40100103 ;401102;1
40100103 ;401103;1
40100104 ;401101;0
40100104 ;401102;1
40100104 ;401103;1
40100105 ;401101;1
40100105 ;401102;0
40100105 ;401103;1
40100106 ;401101;0
40100106 ;401102;1
40100106 ;401103;1
40100107 ;401101;0
40100107 ;401102;1
40100107 ;401103;1
40100108 ;401101;0
40100108 ;401102;0
40100108 ;401103;1
40100109 ;401101;0
40100109 ;401102;1
40100109 ;401103;1
40100110 ;401101;0
40100110 ;401102;1
40100110 ;401103;1
40100111 ;401101;1
40100111 ;401102;1
40100111 ;401103;1
40100112 ;401101;0
40100112 ;401102;1
40100112 ;401103;1
40100113 ;401101;1
40100113 ;401102;1
40100113 ;401103;1
40100201 ;401201;0
40100201 ;401202;0
40100201 ;401203;1
40100202 ;401201;1
40100202 ;401202;1
40100202 ;401203;0
40100203 ;401201;1
40100203 ;401202;1
40100203 ;401203;0
40100204 ;401201;0
40100204 ;401202;1
40100204 ;401203;0
40100205 ;401201;1
40100205 ;401202;0
40100205 ;401203;1
40100206 ;401201;1
40100206 ;401202;1
40100206 ;401203;0
40100207 ;401201;1
40100207 ;401202;0
40100207 ;401203;1
40100208 ;401201;1
40100208 ;401202;1
40100208 ;401203;1
40100209 ;401201;1
40100209 ;401202;1
40100209 ;401203;0
40100210 ;401201;1
40100210 ;401202;1
40100210 ;401203;0
40100211 ;401201;1
40100211 ;401202;1
40100211 ;401203;1
40100212 ;401201;1
40100212 ;401202;1
40100212 ;401203;0
40100213 ;401201;1
40100213 ;401202;0
40100213 ;401203;1
40100301 ;401301;1
40100302 ;401301;1
40100303 ;401301;1
40100304 ;401301;1
40100305 ;401301;1
40100306 ;401301;1
40100307 ;401301;1
40100308 ;401301;1
40100309 ;401301;1
40100310 ;401301;1
40100311 ;401301;1
40100312 ;401301;1
40100313 ;401301;1
40100401 ;401401;1
40100401 ;401402;1
40100401 ;401403;0
40100402 ;401401;1
40100402 ;401402;0
40100402 ;401403;1
40100403 ;401401;1
40100403 ;401402;0
40100403 ;401403;0
40100404 ;401401;1
40100404 ;401402;1
40100404 ;401403;0
40100405 ;401401;1
40100405 ;401402;0
40100405 ;401403;1
40100406 ;401401;1
40100406 ;401402;0
40100406 ;401403;1
40100407 ;401401;1
40100407 ;401402;1
40100407 ;401403;1
40100408 ;401401;1
40100408 ;401402;0
40100408 ;401403;1
40100409 ;401401;1
40100409 ;401402;1
40100409 ;401403;1
40100410 ;401401;1
40100410 ;401402;0
40100410 ;401403;1
40100411 ;401401;1
